index,y_true,y_pred,correct,tp,tn,fp,fn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
0,0,0,True,False,True,False,False,0.433698,0.595745,0.046535,0.27224,0.003467,0.422915,0.414912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,0,True,False,True,False,False,0.465201,0.212766,0.027801,0.188783,0.001901,0.216209,0.414912,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1,1,True,True,False,False,False,0.885182,0.723404,0.075988,0.616037,0.00512,0.549715,0.454386,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,0,0,True,False,True,False,False,0.884651,0.191489,0.027681,0.166766,0.001784,0.309943,0.762281,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0,0,True,False,True,False,False,0.425202,0.255319,0.058394,0.326093,0.003467,0.422915,0.414912,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0,0,True,False,True,False,False,0.433609,0.021277,0.049838,0.278191,0.003467,0.422915,0.414912,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0,0,True,False,True,False,False,0.880227,0.93617,0.033896,0.416691,0.002295,0.360953,0.426316,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,1,0,False,False,False,False,True,0.424848,0.957447,0.062838,0.380839,0.003467,0.422915,0.414912,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0,0,True,False,True,False,False,0.885536,0.297872,0.034826,0.498066,0.002393,0.531331,0.373246,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,1,1,True,True,False,False,False,0.447281,0.340426,0.072085,0.718536,0.004892,0.634386,0.310965,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0,0,True,False,True,False,False,0.017875,0.893617,0.076468,0.448081,0.003467,0.422915,0.414912,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,0,0,True,False,True,False,False,0.871997,0.382979,0.029032,0.428741,0.001695,0.236147,0.880263,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,True,False,True,False,False,0.876421,0.042553,0.027111,0.173907,0.000837,0.297514,0.732018,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,0,False,False,False,False,True,0.8812,0.617021,0.035427,0.513984,0.002414,0.505955,0.534649,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,0,0,True,False,True,False,False,0.460245,0.659574,0.030293,0.456858,0.002069,0.482393,0.353509,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0,0,True,False,True,False,False,0.469493,0.829787,0.029362,0.433204,0.001971,0.380114,0.510526,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,1,1,True,True,False,False,False,0.447812,0.531915,0.041672,0.476941,0.002804,0.383739,0.557456,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,1,0,False,False,False,False,True,0.884651,0.276596,0.029002,0.411782,0.001917,0.475401,0.482456,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,1,1,True,True,False,False,False,0.871643,0.340426,0.031734,0.474264,0.001961,0.387364,0.839912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0,0,True,False,True,False,False,0.468873,0.212766,0.02651,0.286224,0.001764,0.13594,0.617544,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,1,0,False,False,False,False,True,0.442281,0.531915,0.057704,0.38679,0.003467,0.422915,0.414912,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,1,1,True,True,False,False,False,0.907924,0.340426,0.085865,0.53496,0.005891,0.674003,0.257456,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,0,0,True,False,True,False,False,0.885315,0.638298,0.041311,0.374888,0.002152,0.330658,0.738596,0.0,0.0,0.0,0.0,0.0,0.0,1.0
