index,y_true,y_pred,correct,tp,tn,fp,fn,f0,f1,f2,f3,f4
0,0,0,True,False,True,False,False,1.653982,-0.353302,-0.984723,-0.344136,0.024499
1,0,1,False,False,False,True,False,0.497112,-0.151995,1.2963,0.213605,0.368913
2,0,0,True,False,True,False,False,0.399572,-0.612518,-0.563246,-0.239879,-0.289001
3,1,1,True,True,False,False,False,-0.716686,-0.859901,-0.386859,1.582899,-1.377785
4,0,0,True,False,True,False,False,0.318709,0.414524,-1.221415,0.162614,0.751172
5,0,0,True,False,True,False,False,-0.354559,1.195635,-1.419858,-0.738447,0.092904
6,0,0,True,False,True,False,False,-0.407364,0.605404,-1.249138,-0.69781,-0.312379
7,0,0,True,False,True,False,False,0.478142,0.363987,-0.248673,-0.083771,0.358393
8,0,0,True,False,True,False,False,-0.613847,-0.27033,1.752607,-1.332749,-0.748393
9,1,1,True,True,False,False,False,-0.691864,-0.353106,1.79717,-1.521561,1.974356
10,0,0,True,False,True,False,False,0.833038,0.224596,-0.245083,1.605083,-0.823686
11,0,1,False,False,False,True,False,-0.1238,0.910942,0.254224,1.007894,-0.794828
12,1,1,True,True,False,False,False,-0.193235,1.512018,0.715879,0.589471,-0.533299
13,0,0,True,False,True,False,False,-0.377386,1.108837,-1.23704,-0.696149,-0.289665
14,0,0,True,False,True,False,False,-0.096497,1.449836,-1.219016,-0.235225,0.116148
15,1,1,True,True,False,False,False,-0.873455,-1.673834,-0.364282,-1.012337,-0.136583
16,0,0,True,False,True,False,False,1.450146,0.747498,0.080694,-0.787758,0.149191
17,0,0,True,False,True,False,False,-0.609016,-0.299799,1.097031,0.512487,-0.764411
18,0,0,True,False,True,False,False,-0.510805,1.960636,-1.368781,-0.039705,0.895041
19,0,0,True,False,True,False,False,2.440457,-0.778594,-0.508374,-0.594955,-0.021503
20,0,0,True,False,True,False,False,-0.513469,-0.32468,1.985266,-1.282239,-0.711079
21,0,0,True,False,True,False,False,-0.685502,-0.05226,1.244497,-1.191524,-1.066684
22,0,1,False,False,False,True,False,-0.679278,-1.046632,-0.39023,1.030504,3.563753
23,0,0,True,False,True,False,False,-0.031885,1.00788,-1.174452,-0.206719,0.142414
24,0,0,True,False,True,False,False,-1.09965,0.006021,0.744093,0.220672,-0.136583
25,0,0,True,False,True,False,False,-0.693534,-0.203554,2.045529,-1.685671,-0.136583
26,0,0,True,False,True,False,False,-0.626162,0.30506,2.500237,-1.622247,-0.76578
