index,y_true,y_pred,correct,tp,tn,fp,fn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,0,0,True,False,True,False,False,43.9,27.5743,3.4807,0.1828,0.0964,24.8241,24.931,-12.3893,4.9347,191.736
1,0,0,True,False,True,False,False,33.3747,16.9277,2.5623,0.3589,0.1795,44.1889,20.9917,14.4195,13.511,232.175
2,0,0,True,False,True,False,False,24.6014,12.8664,2.3793,0.5637,0.2985,17.3748,19.5657,8.2758,22.821,216.952
3,0,0,True,False,True,False,False,45.952,36.6764,3.2163,0.1799,0.0975,32.4806,40.2426,18.5289,24.992,143.65
4,0,0,True,False,True,False,False,83.4713,18.4533,2.9581,0.391,0.2439,27.5574,31.2314,7.9963,3.1439,357.692
5,0,0,True,False,True,False,False,85.6279,34.8662,3.9472,0.134,0.0677,16.5888,74.0012,25.721,1.92,286.413
6,0,0,True,False,True,False,False,92.3287,33.9942,3.8473,0.1494,0.0782,-54.5674,67.4872,18.6972,1.5216,329.357
7,1,1,True,True,False,False,False,113.9689,62.7857,3.6275,0.1639,0.0578,-158.6312,-92.3592,39.2191,73.1525,227.8734
8,1,0,False,False,False,False,True,22.651,17.1751,2.6735,0.4645,0.2534,7.4406,-9.902,7.5273,39.676,207.251
9,1,1,True,True,False,False,False,150.965,45.7136,3.6286,0.0981,0.0521,-259.083,129.254,20.2187,61.152,189.67
10,0,0,True,False,True,False,False,34.7035,14.3577,2.8663,0.3537,0.2129,2.2747,23.6089,-4.1388,5.354,140.17
11,1,1,True,True,False,False,False,163.6203,61.581,3.4128,0.3323,0.1669,-137.6074,-167.7684,76.1014,12.4703,398.6475
12,1,1,True,True,False,False,False,159.7701,43.0378,3.2576,0.1154,0.0623,73.3578,92.8161,-41.623,32.7,203.2499
13,1,0,False,False,False,False,True,15.796,13.6178,2.7777,0.4655,0.2965,-25.7576,-21.4304,11.5737,89.6616,134.1615
14,1,0,False,False,False,False,True,22.2988,15.579,2.6675,0.5828,0.3968,-14.4378,-21.103,-12.2263,43.694,150.459
15,1,1,True,True,False,False,False,251.9646,42.7452,2.7769,0.2182,0.0907,-210.8118,-121.5447,14.1879,47.2145,170.0592
16,0,0,True,False,True,False,False,37.0974,15.4434,2.7612,0.3553,0.2002,-27.303,21.465,-8.5269,8.163,268.679
17,0,0,True,False,True,False,False,28.5,14.5305,2.73,0.3706,0.1927,27.8753,23.2323,9.5886,1.702,135.178
18,1,1,True,True,False,False,False,105.022,92.0342,3.9104,0.0951,0.0568,-91.9383,-15.1269,58.248,25.907,199.29
19,1,1,True,True,False,False,False,169.378,110.05,3.5601,0.1815,0.0935,-97.6401,85.5289,-74.4955,84.3716,349.336
20,1,1,True,True,False,False,False,91.616,16.4013,3.1089,0.1977,0.1093,18.7187,50.826,-10.2227,76.028,205.871
21,0,0,True,False,True,False,False,33.9768,18.3016,2.7642,0.3408,0.2126,3.7503,24.2362,10.7984,71.4495,43.6149
22,0,0,True,False,True,False,False,66.8423,14.7113,2.6335,0.3372,0.1802,48.2143,61.796,-9.3751,8.368,272.43
23,0,0,True,False,True,False,False,12.9604,11.2107,2.1569,0.7456,0.4216,-14.7113,6.7743,10.7389,28.2782,223.592
24,0,0,True,False,True,False,False,24.7542,15.3671,2.6693,0.4304,0.2666,-10.9095,-15.3471,7.97,26.265,202.563
25,1,1,True,True,False,False,False,134.9985,95.8599,3.3018,0.2299,0.0956,147.3387,-89.2606,-51.6454,18.5212,197.401
26,0,0,True,False,True,False,False,20.0879,7.223,2.2162,0.7599,0.386,3.9973,-11.4332,5.278,75.3057,179.562
27,1,1,True,True,False,False,False,93.3967,37.1066,2.8319,0.3549,0.2275,-51.9886,-94.9263,28.2698,41.7438,149.554
28,0,1,False,False,False,True,False,35.8038,15.5345,2.7173,0.3854,0.2176,-4.4131,-29.9929,12.8724,29.837,87.5836
29,0,0,True,False,True,False,False,41.7967,17.4889,2.8782,0.266,0.1383,-4.6361,15.0798,9.3551,17.537,206.47
30,0,0,True,False,True,False,False,19.5102,7.2304,2.1746,0.7893,0.4114,-5.0536,11.4996,4.3149,19.071,156.436
31,0,0,True,False,True,False,False,107.939,53.3671,4.3789,0.0734,0.038,67.1142,85.6668,-28.1287,1.6793,292.55
32,0,0,True,False,True,False,False,64.054,22.9365,2.9566,0.4133,0.2238,-19.293,-37.1957,16.9165,4.1447,317.994
33,0,0,True,False,True,False,False,28.5512,12.9598,2.5676,0.3897,0.2368,-3.5697,17.4463,6.6037,2.4627,266.666
34,0,0,True,False,True,False,False,37.9953,17.6303,2.5916,0.356,0.2318,43.0104,27.3013,-14.3472,10.0049,223.025
35,0,0,True,False,True,False,False,44.2587,17.7969,2.6015,0.3805,0.194,-60.6188,-17.2116,-15.61,2.5856,280.737
36,0,0,True,False,True,False,False,64.5851,14.9835,2.8633,0.2534,0.1582,-16.0459,-51.2555,9.8347,7.6842,219.668
37,0,0,True,False,True,False,False,21.912,12.507,2.233,0.6199,0.3889,13.8193,15.5951,-10.1034,72.975,63.1849
38,1,1,True,True,False,False,False,212.5581,32.364,2.864,0.3028,0.1419,-186.206,103.2997,15.6846,29.5269,216.3836
